index,block_type,block,layer_name,ks_h,ks_w,ks_if,ks_of,if_h,if_w,if_ch,of_h,of_w,of_ch,stride,pad_l,pad_r,pad_h,pad_b,input_layer,ops,params,row_size(index),ks_row_size(index),wt(4index),(ps)conv,(ps)mean,pl(conv),pl(dconv)
51,,,blk9_conv4_1s1_sm,1,1,16,336,1,1,16,32,32,336,1,,,,,48,5505024,5712,0,0,0,354816,0,0,0
52,,,blk9_conv5_1s1_add,1,1,336,64,32,32,336,32,32,64,1,,,,,46,22020096,21568,0.1640625,0.1640625,0.08203125,0,0,0,22020096
53,,blk10,blk10_conv1_1s1_sm,1,1,64,336,32,32,64,32,32,336,1,,,,,,22020096,21840,0.03125,0.03125,0.08203125,0,0,0,22020096
54,,,blk10_depconv2_5s1_sm,5,5,336,1,32,32,336,32,32,336,1,2,2,2,2,,8601600,8736,0.1640625,0.8203125,0.032043457,0,0,8601600,0
55,,,blk10_mean,,,,,32,32,336,1,1,336,,,,,,,0,0,0,0,0,0,345408,0,0
56,,,blk10_conv3_1s1_sm,1,1,336,16,1,1,336,1,1,16,1,,,,,,5376,5392,0,0,0,10752,0,0,0
57,,,blk10_conv4_1s1_sm,1,1,16,336,1,1,16,32,32,336,1,,,,,54,5505024,5712,0,0,0,354816,0,0,0
58,,,blk10_conv5_1s1_add,1,1,336,64,32,32,336,32,32,64,1,,,,,52,22020096,21568,0.1640625,0.1640625,0.08203125,0,0,0,22020096
59,3,blk11,blk11_conv1_1s1_sm,1,1,64,336,32,32,64,32,32,336,1,,,,,,22020096,21840,0.03125,0.03125,0.08203125,0,0,0,22020096
60,,,blk11_depconv2_3s2_sm,3,3,336,1,32,32,336,16,16,336,2,0,1,0,1,,774144,3360,0.1640625,0.4921875,0.011535645,0,0,774144,0
61,,,blk11_mean,,,,,16,16,336,1,1,336,,,,,,,0,0,0,0,0,0,87360,0,0
62,,,blk11_conv3_1s1_sm,1,1,336,16,1,1,336,1,1,16,1,,,,,,5376,5392,0,0,0,10752,0,0,0
63,,,blk11_conv4_1s1_sm,1,1,16,336,1,1,16,16,16,336,1,,,,,60,1376256,5712,0,0,0,96768,0,0,0
64,,,blk11_conv5_1s1,1,1,336,112,16,16,336,16,16,112,1,,,,,,9633792,37744,0.08203125,0.08203125,0.143554688,0,0,0,9633792
65,4,blk12,blk12_conv1_1s1_sm,1,1,112,672,16,16,112,16,16,672,1,,,,,,19267584,75936,0.02734375,0.02734375,0.287109375,0,0,0,19267584
66,,,blk12_depconv2_3s1_sm,3,3,672,1,16,16,672,16,16,672,1,1,1,1,1,,1548288,6720,0.1640625,0.4921875,0.023071289,0,0,1548288,0
67,,,blk12_mean,,,,,16,16,672,1,1,672, ,,,,,,0,0,0,0,0,0,174720,0,0
68,,,blk12_conv3_1s1_sm,1,1,672,32,1,1,672,1,1,32,1,,,,,,21504,21536,0,0,0,43008,0,0,0
69,,,blk12_conv4_1s1_sm,1,1,32,672,1,1,32,16,16,672,1,,,,,66,5505024,22176,0,0,0,215040,0,0,0
70,,,blk12_conv5_1s1_add,1,1,672,112,16,16,672,16,16,112,1,,,,,64,19267584,75376,0.1640625,0.1640625,0.287109375,0,0,0,19267584
71,,blk13,blk13_conv1_1s1_sm,1,1,112,672,16,16,112,16,16,672,1,,,,,,19267584,75936,0.02734375,0.02734375,0.287109375,0,0,0,19267584
72,,,blk13_depconv2_3s1_sm,3,3,672,1,16,16,672,16,16,672,1,1,1,1,1,,1548288,6720,0.1640625,0.4921875,0.023071289,0,0,1548288,0
73,,,blk13_mean,,,,,16,16,672,1,1,672, ,,,,,,0,0,0,0,0,0,174720,0,0
74,,,blk13_conv3_1s1_sm,1,1,672,32,1,1,672,1,1,32,1,,,,,,21504,21536,0,0,0,43008,0,0,0
